Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2009:Q3,Bottom50,465049,5508208,3018794,1085308,90144,205409,284349,156418,667786,5043159,3520466,1391244,131449
2009:Q4,TopPt1,6120487,6235510,675683,240089,2167952,49222,43546,1043688,2015330,115023,62178,9232,43613
2009:Q4,RemainingTop1,9924134,10454706,1833204,306015,2737469,549206,609977,1622884,2795950,530571,368084,62618,99869
2009:Q4,Next9,22926346,25381770,5849140,1000051,3935147,5086952,2401120,1924404,5184957,2455425,2125444,192662,137319
2009:Q4,Next40,18899855,24288934,8102108,1923104,1451232,5423790,2060659,1141527,4186514,5389078,4370475,895809,122794
2009:Q4,Bottom50,424478,5472602,2973046,1090761,90366,199903,293026,154861,670638,5048124,3515121,1394696,138307
2010:Q1,TopPt1,6339504,6465658,686696,240929,2308517,38521,42534,1082028,2066434,126154,64141,9709,52304
2010:Q1,RemainingTop1,10162393,10689012,1823309,295154,2934813,563447,627193,1648156,2796939,526619,359749,64615,102255
2010:Q1,Next9,23405129,25866603,5836489,1006631,4164319,5175757,2506395,1961730,5215282,2461474,2114238,185728,161508
2010:Q1,Next40,19142969,24463466,8033068,1925647,1503039,5560074,2129699,1153259,4158680,5320497,4297397,864069,159031
2010:Q1,Bottom50,444592,5448556,2959451,1082342,93068,195428,302568,157045,658654,5003964,3475092,1368936,159936
2010:Q2,TopPt1,6258413,6389027,698132,244490,2080038,26792,34489,1181427,2123659,130614,66560,10513,53541
2010:Q2,RemainingTop1,9906724,10427890,1814672,282841,2642915,571425,608456,1709726,2797854,521166,352823,67231,101112
2010:Q2,Next9,23211870,25692081,5830647,1008612,3835488,5261968,2430866,2067180,5257320,2480211,2127731,183198,169282
2010:Q2,Next40,18990340,24258424,7961894,1923849,1397210,5665153,2014537,1179705,4116076,5268084,4244985,854449,168650
2010:Q2,Bottom50,402690,5382717,2940072,1071016,83619,190905,288313,161701,647091,4980027,3450974,1363063,165990
2010:Q3,TopPt1,6609363,6741121,707403,242339,2362694,15259,36240,1230422,2146765,131759,68500,11234,52025
2010:Q3,RemainingTop1,10368167,10882648,1797019,272161,3028950,580985,641012,1742673,2819848,514481,346714,69295,98472
2010:Q3,Next9,24064596,26531692,5794972,1018177,4281970,5379280,2623689,2117660,5315945,2467096,2116641,182535,167920
2010:Q3,Next40,19340585,24558258,7871903,1926253,1510415,5800492,2164167,1195294,4089734,5217673,4194751,857485,165437
2010:Q3,Bottom50,393328,5380665,2926933,1061352,90937,186838,307695,164474,642436,4987336,3438083,1383177,166076
2010:Q4,TopPt1,6925347,7052885,702138,259993,2602260,16264,43710,1289894,2138627,127539,64745,12021,50773
2010:Q4,RemainingTop1,10773066,11283920,1798978,277722,3318727,558298,660292,1756528,2913375,510854,344979,67594,98281
2010:Q4,Next9,24667247,27128972,5728525,1008359,4606461,5521055,2747370,2177819,5339383,2461726,2083845,194949,182932
2010:Q4,Next40,19631611,24877077,7760863,1923820,1624009,5915656,2325339,1197923,4129468,5245467,4161614,915249,168604
2010:Q4,Bottom50,372735,5337726,2849867,1065547,98509,192088,320993,161453,649268,4964990,3337096,1456998,170896
2011:Q1,TopPt1,7176896,7299507,694025,269122,2816641,16777,50195,1335480,2117266,122611,62104,11943,48564
2011:Q1,RemainingTop1,11054639,11558715,1789267,286177,3573641,532293,672327,1761861,2943148,504075,345892,64642,93541
2011:Q1,Next9,25017130,27522872,5621898,1010424,4888390,5594996,2803246,2222713,5381205,2505742,2106579,193800,205363
2011:Q1,Next40,19804147,25049849,7627999,1929032,1726067,5965688,2442880,1197257,4160926,5245702,4169876,901574,174252
2011:Q1,Bottom50,406873,5304888,2783582,1073485,105212,196491,329768,157775,658576,4898015,3267310,1456350,174355
2011:Q2,TopPt1,7269045,7385332,692610,290764,2817931,17251,53454,1347971,2165351,116288,58992,12093,45203
2011:Q2,RemainingTop1,11094976,11600369,1807389,293238,3544645,505946,668895,1748383,3031872,505392,347130,62630,95632
2011:Q2,Next9,25123514,27629958,5602424,1002158,4855732,5664712,2796712,2231689,5476531,2506443,2104255,197523,204665
2011:Q2,Next40,19927849,25175640,7572272,1936824,1742924,6011718,2483963,1189574,4238365,5247791,4175359,910197,162235
2011:Q2,Bottom50,412275,5257343,2715548,1086064,105170,200898,327782,152825,669055,4845067,3202966,1470635,171466
2011:Q3,TopPt1,6961714,7073812,688230,284343,2364158,17522,48264,1384940,2286354,112098,56020,12264,43814
2011:Q3,RemainingTop1,10529460,11038705,1816555,303218,2915866,478069,626868,1748199,3149929,509244,348371,59761,101112
2011:Q3,Next9,24395065,26905158,5531628,1017177,4152853,5706703,2584024,2267341,5645432,2510093,2108972,201829,199292
2011:Q3,Next40,19685946,24946334,7552137,1938446,1571276,6031031,2309362,1186951,4357132,5260388,4182845,925116,152427
2011:Q3,Bottom50,404768,5221229,2706195,1087445,90639,204991,299709,148638,683611,4816461,3138364,1503205,174892
2011:Q4,TopPt1,7220285,7327957,685342,299133,2540466,18083,55775,1462333,2266825,107671,52846,12429,42396
2011:Q4,RemainingTop1,10811729,11328739,1828830,309098,3117427,452009,642510,1769267,3209598,517011,350351,57250,109410
2011:Q4,Next9,24883316,27381865,5489949,1010342,4380686,5790080,2673161,2346455,5691192,2498550,2103900,207322,187328
2011:Q4,Next40,19962492,25240548,7488651,1935814,1662025,6090159,2455816,1192001,4416082,5278056,4195498,944099,138459
2011:Q4,Bottom50,402355,5199043,2646922,1090310,96218,209685,310319,145627,699961,4796688,3082901,1535126,178661
2012:Q1,TopPt1,7595062,7698389,683011,323872,2908523,18725,65993,1488827,2209438,103327,50316,12569,40442
2012:Q1,RemainingTop1,11287397,11798941,1842099,315127,3569756,426325,667889,1762232,3215513,511544,349866,54220,107458
2012:Q1,Next9,25533994,28074292,5459643,998072,4883490,5885354,2832882,2370602,5644249,2540297,2129004,207270,204023
2012:Q1,Next40,20341817,25607886,7404493,1940790,1830312,6160650,2671647,1186739,4413255,5266070,4190865,934384,140821
2012:Q1,Bottom50,446017,5160682,2565335,1101179,107804,214580,327534,140813,703438,4714666,2997222,1536598,180846
2012:Q2,TopPt1,7632172,7730716,686648,326354,2818866,19119,67622,1541591,2270516,98544,47260,12832,38452
2012:Q2,RemainingTop1,11182754,11697371,1886098,322674,3419978,398692,655471,1768495,3245962,514617,350764,51497,112356
2012:Q2,Next9,25483007,28026367,5489681,1002401,4718719,5946067,2750118,2422735,5696645,2543359,2129096,212417,201846
2012:Q2,Next40,20441262,25716604,7493877,1937227,1811250,6197650,2656135,1186088,4434377,5275342,4193954,950313,131075
2012:Q2,Bottom50,476407,5150584,2567270,1100438,104911,219056,319254,136667,702989,4674176,2928658,1563409,182109
2012:Q3,TopPt1,7985654,8078818,692299,331987,3024861,19649,75250,1637072,2297700,93164,43727,12817,36620
2012:Q3,RemainingTop1,11568253,12084263,1939119,329864,3657288,371773,667166,1795827,3323227,516010,353485,48531,113994
2012:Q3,Next9,26095832,28630000,5545753,1004042,4980329,6026053,2821753,2519878,5732193,2534168,2109037,217913,207218
2012:Q3,Next40,20873556,26180641,7609004,1934101,1912586,6253028,2794986,1192377,4484559,5307085,4210363,969792,126930
2012:Q3,Bottom50,508666,5175957,2569869,1100741,111316,223817,327243,133559,709413,4667292,2881060,1601401,184831
2012:Q4,TopPt1,8114339,8203389,697198,341191,3060052,20102,79728,1712718,2292400,89050,41556,13585,33909
